municipality_code,city_district,cadastral_area,year,car_count,truck_count,total_vehicles,_fact_loaded_at
Brno-Bohunice,Brno-Bohunice,Bohunice,2010,2,13,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2011,2,13,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2012,2,13,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2013,2,13,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2014,2,13,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2015,2,13,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2016,2,13,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2017,2,12,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2018,2,12,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2019,2,12,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2020,2,12,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2021,2,12,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2022,2,12,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Bohunice,2023,2,12,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2010,6,8,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2011,5,8,13,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2012,5,8,13,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2013,4,9,13,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2014,4,9,13,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2015,4,10,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2016,4,10,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2017,5,7,12,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2018,5,7,12,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2019,6,9,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2020,5,9,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2021,5,7,12,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2022,5,7,12,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Horní Heršpice,2023,5,10,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2010,6,7,13,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2011,6,7,13,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2012,7,7,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2013,7,7,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2014,7,7,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2015,7,7,14,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2016,8,7,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2017,9,8,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2018,9,8,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2019,9,8,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2020,9,8,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2021,9,8,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2022,9,8,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Starý Lískovec,2023,9,8,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2010,5,10,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2011,5,10,15,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2012,6,11,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2013,6,11,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2014,6,11,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2015,6,11,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2016,6,11,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2017,6,11,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2018,7,10,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2019,7,10,17,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2020,6,10,16,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2021,6,10,16,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2022,6,10,16,2026-01-12 01:35:11.492392
Brno-Bohunice,Brno-Bohunice,Štýřice,2023,6,10,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2010,3,12,15,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2011,3,12,15,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2012,4,12,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2013,4,12,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2014,4,12,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2015,4,12,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2016,4,12,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2017,5,11,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2018,5,11,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2019,5,11,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2020,4,11,15,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2021,4,10,14,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2022,4,10,14,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Bosonohy,2023,4,10,14,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2010,8,10,18,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2011,8,10,18,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2012,10,11,21,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2013,10,11,21,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2014,10,11,21,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2015,10,11,21,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2016,10,11,21,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2017,11,10,21,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2018,12,10,22,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2019,12,10,22,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2020,12,11,23,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2021,12,11,23,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2022,12,11,23,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Kohoutovice,2023,12,11,23,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Nový Lískovec,2010,8,8,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Nový Lískovec,2011,8,8,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Nový Lískovec,2012,8,8,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Nový Lískovec,2013,8,8,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Nový Lískovec,2014,8,8,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Nový Lískovec,2015,8,8,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Nový Lískovec,2016,8,8,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Nový Lískovec,2017,8,8,16,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Nový Lískovec,2018,9,14,23,2026-01-12 01:35:11.492392
Brno-Bosonohy,Brno-Bosonohy,Nový Lískovec,2019,9,14,23,2026-01-12 01:35:11.492392
