date_key,full_date,day,month,year,day_of_week,month_name,is_weekend
20160927,2016-09-27,27,9,2016,Tuesday,September,f
20130211,2013-02-11,11,2,2013,Monday,February,f
20190207,2019-02-07,7,2,2019,Thursday,February,f
20101011,2010-10-11,11,10,2010,Monday,October,f
20151010,2015-10-10,10,10,2015,Saturday,October,t
20151231,2015-12-31,31,12,2015,Thursday,December,f
20150908,2015-09-08,8,9,2015,Tuesday,September,f
20141221,2014-12-21,21,12,2014,Sunday,December,t
20201223,2020-12-23,23,12,2020,Wednesday,December,f
20111105,2011-11-05,5,11,2011,Saturday,November,t
20140526,2014-05-26,26,5,2014,Monday,May,f
20240929,2024-09-29,29,9,2024,Sunday,September,t
20150807,2015-08-07,7,8,2015,Friday,August,f
20111031,2011-10-31,31,10,2011,Monday,October,f
20140427,2014-04-27,27,4,2014,Sunday,April,t
20241226,2024-12-26,26,12,2024,Thursday,December,f
20170615,2017-06-15,15,6,2017,Thursday,June,f
20150303,2015-03-03,3,3,2015,Tuesday,March,f
20220523,2022-05-23,23,5,2022,Monday,May,f
20121027,2012-10-27,27,10,2012,Saturday,October,t
20140921,2014-09-21,21,9,2014,Sunday,September,t
20181101,2018-11-01,1,11,2018,Thursday,November,f
20130902,2013-09-02,2,9,2013,Monday,September,f
20170613,2017-06-13,13,6,2017,Tuesday,June,f
20231204,2023-12-04,4,12,2023,Monday,December,f
20130816,2013-08-16,16,8,2013,Friday,August,f
20241112,2024-11-12,12,11,2024,Tuesday,November,f
20141231,2014-12-31,31,12,2014,Wednesday,December,f
20211110,2021-11-10,10,11,2021,Wednesday,November,f
20190531,2019-05-31,31,5,2019,Friday,May,f
20170219,2017-02-19,19,2,2017,Sunday,February,t
20130910,2013-09-10,10,9,2013,Tuesday,September,f
20150901,2015-09-01,1,9,2015,Tuesday,September,f
20100314,2010-03-14,14,3,2010,Sunday,March,t
20131017,2013-10-17,17,10,2013,Thursday,October,f
20150503,2015-05-03,3,5,2015,Sunday,May,t
20100420,2010-04-20,20,4,2010,Tuesday,April,f
20110409,2011-04-09,9,4,2011,Saturday,April,t
20190710,2019-07-10,10,7,2019,Wednesday,July,f
20190808,2019-08-08,8,8,2019,Thursday,August,f
20110723,2011-07-23,23,7,2011,Saturday,July,t
20160710,2016-07-10,10,7,2016,Sunday,July,t
20130306,2013-03-06,6,3,2013,Wednesday,March,f
20220122,2022-01-22,22,1,2022,Saturday,January,t
20181002,2018-10-02,2,10,2018,Tuesday,October,f
20181127,2018-11-27,27,11,2018,Tuesday,November,f
20240830,2024-08-30,30,8,2024,Friday,August,f
20200713,2020-07-13,13,7,2020,Monday,July,f
20230128,2023-01-28,28,1,2023,Saturday,January,t
20240413,2024-04-13,13,4,2024,Saturday,April,t
20120516,2012-05-16,16,5,2012,Wednesday,May,f
20120816,2012-08-16,16,8,2012,Thursday,August,f
20110319,2011-03-19,19,3,2011,Saturday,March,t
20110929,2011-09-29,29,9,2011,Thursday,September,f
20240417,2024-04-17,17,4,2024,Wednesday,April,f
20130927,2013-09-27,27,9,2013,Friday,September,f
20230917,2023-09-17,17,9,2023,Sunday,September,t
20160324,2016-03-24,24,3,2016,Thursday,March,f
20240624,2024-06-24,24,6,2024,Monday,June,f
20161010,2016-10-10,10,10,2016,Monday,October,f
20231120,2023-11-20,20,11,2023,Monday,November,f
20100704,2010-07-04,4,7,2010,Sunday,July,t
20230226,2023-02-26,26,2,2023,Sunday,February,t
20120310,2012-03-10,10,3,2012,Saturday,March,t
20150506,2015-05-06,6,5,2015,Wednesday,May,f
20230409,2023-04-09,9,4,2023,Sunday,April,t
20100701,2010-07-01,1,7,2010,Thursday,July,f
20220712,2022-07-12,12,7,2022,Tuesday,July,f
20150829,2015-08-29,29,8,2015,Saturday,August,t
20181214,2018-12-14,14,12,2018,Friday,December,f
20181014,2018-10-14,14,10,2018,Sunday,October,t
20210401,2021-04-01,1,4,2021,Thursday,April,f
20150615,2015-06-15,15,6,2015,Monday,June,f
20211102,2021-11-02,2,11,2021,Tuesday,November,f
20161024,2016-10-24,24,10,2016,Monday,October,f
20231003,2023-10-03,3,10,2023,Tuesday,October,f
20120908,2012-09-08,8,9,2012,Saturday,September,t
20161130,2016-11-30,30,11,2016,Wednesday,November,f
20121013,2012-10-13,13,10,2012,Saturday,October,t
20100722,2010-07-22,22,7,2010,Thursday,July,f
20170218,2017-02-18,18,2,2017,Saturday,February,t
20100707,2010-07-07,7,7,2010,Wednesday,July,f
20141214,2014-12-14,14,12,2014,Sunday,December,t
20180720,2018-07-20,20,7,2018,Friday,July,f
20170824,2017-08-24,24,8,2017,Thursday,August,f
20110302,2011-03-02,2,3,2011,Wednesday,March,f
20161007,2016-10-07,7,10,2016,Friday,October,f
20141119,2014-11-19,19,11,2014,Wednesday,November,f
20230818,2023-08-18,18,8,2023,Friday,August,f
20170906,2017-09-06,6,9,2017,Wednesday,September,f
20190505,2019-05-05,5,5,2019,Sunday,May,t
20211003,2021-10-03,3,10,2021,Sunday,October,t
20101130,2010-11-30,30,11,2010,Tuesday,November,f
20140504,2014-05-04,4,5,2014,Sunday,May,t
20140430,2014-04-30,30,4,2014,Wednesday,April,f
20150521,2015-05-21,21,5,2015,Thursday,May,f
20180918,2018-09-18,18,9,2018,Tuesday,September,f
20120917,2012-09-17,17,9,2012,Monday,September,f
20230227,2023-02-27,27,2,2023,Monday,February,f
20230212,2023-02-12,12,2,2023,Sunday,February,t
20230904,2023-09-04,4,9,2023,Monday,September,f
20111205,2011-12-05,5,12,2011,Monday,December,f
20151003,2015-10-03,3,10,2015,Saturday,October,t
20200611,2020-06-11,11,6,2020,Thursday,June,f
20111024,2011-10-24,24,10,2011,Monday,October,f
20240102,2024-01-02,2,1,2024,Tuesday,January,f
20130923,2013-09-23,23,9,2013,Monday,September,f
20170110,2017-01-10,10,1,2017,Tuesday,January,f
20130106,2013-01-06,6,1,2013,Sunday,January,t
20210530,2021-05-30,30,5,2021,Sunday,May,t
20180221,2018-02-21,21,2,2018,Wednesday,February,f
20210809,2021-08-09,9,8,2021,Monday,August,f
20151012,2015-10-12,12,10,2015,Monday,October,f
20201029,2020-10-29,29,10,2020,Thursday,October,f
20121102,2012-11-02,2,11,2012,Friday,November,f
20190122,2019-01-22,22,1,2019,Tuesday,January,f
20200329,2020-03-29,29,3,2020,Sunday,March,t
20110629,2011-06-29,29,6,2011,Wednesday,June,f
20190113,2019-01-13,13,1,2019,Sunday,January,t
20210808,2021-08-08,8,8,2021,Sunday,August,t
20161205,2016-12-05,5,12,2016,Monday,December,f
20120715,2012-07-15,15,7,2012,Sunday,July,t
20230221,2023-02-21,21,2,2023,Tuesday,February,f
20230528,2023-05-28,28,5,2023,Sunday,May,t
20230926,2023-09-26,26,9,2023,Tuesday,September,f
20100324,2010-03-24,24,3,2010,Wednesday,March,f
20211210,2021-12-10,10,12,2021,Friday,December,f
20180602,2018-06-02,2,6,2018,Saturday,June,t
20120401,2012-04-01,1,4,2012,Sunday,April,t
20220608,2022-06-08,8,6,2022,Wednesday,June,f
20200423,2020-04-23,23,4,2020,Thursday,April,f
20240202,2024-02-02,2,2,2024,Friday,February,f
20230628,2023-06-28,28,6,2023,Wednesday,June,f
20191215,2019-12-15,15,12,2019,Sunday,December,t
20181222,2018-12-22,22,12,2018,Saturday,December,t
20120909,2012-09-09,9,9,2012,Sunday,September,t
20160908,2016-09-08,8,9,2016,Thursday,September,f
20100413,2010-04-13,13,4,2010,Tuesday,April,f
20160828,2016-08-28,28,8,2016,Sunday,August,t
20211120,2021-11-20,20,11,2021,Saturday,November,t
20231107,2023-11-07,7,11,2023,Tuesday,November,f
20130125,2013-01-25,25,1,2013,Friday,January,f
20140516,2014-05-16,16,5,2014,Friday,May,f
20160903,2016-09-03,3,9,2016,Saturday,September,t
20160620,2016-06-20,20,6,2016,Monday,June,f
20241011,2024-10-11,11,10,2024,Friday,October,f
20160522,2016-05-22,22,5,2016,Sunday,May,t
20150518,2015-05-18,18,5,2015,Monday,May,f
20241109,2024-11-09,9,11,2024,Saturday,November,t
20140311,2014-03-11,11,3,2014,Tuesday,March,f
20230801,2023-08-01,1,8,2023,Tuesday,August,f
20190625,2019-06-25,25,6,2019,Tuesday,June,f
20230426,2023-04-26,26,4,2023,Wednesday,April,f
20140127,2014-01-27,27,1,2014,Monday,January,f
20150413,2015-04-13,13,4,2015,Monday,April,f
20241129,2024-11-29,29,11,2024,Friday,November,f
20140405,2014-04-05,5,4,2014,Saturday,April,t
20180522,2018-05-22,22,5,2018,Tuesday,May,f
20180406,2018-04-06,6,4,2018,Friday,April,f
20111130,2011-11-30,30,11,2011,Wednesday,November,f
20190803,2019-08-03,3,8,2019,Saturday,August,t
20220904,2022-09-04,4,9,2022,Sunday,September,t
20180215,2018-02-15,15,2,2018,Thursday,February,f
20140519,2014-05-19,19,5,2014,Monday,May,f
20110326,2011-03-26,26,3,2011,Saturday,March,t
20230101,2023-01-01,1,1,2023,Sunday,January,t
20180530,2018-05-30,30,5,2018,Wednesday,May,f
20140322,2014-03-22,22,3,2014,Saturday,March,t
20170131,2017-01-31,31,1,2017,Tuesday,January,f
20120919,2012-09-19,19,9,2012,Wednesday,September,f
20180707,2018-07-07,7,7,2018,Saturday,July,t
20151207,2015-12-07,7,12,2015,Monday,December,f
20161226,2016-12-26,26,12,2016,Monday,December,f
20100306,2010-03-06,6,3,2010,Saturday,March,t
20181202,2018-12-02,2,12,2018,Sunday,December,t
20240111,2024-01-11,11,1,2024,Thursday,January,f
20110701,2011-07-01,1,7,2011,Friday,July,f
20230316,2023-03-16,16,3,2023,Thursday,March,f
20140915,2014-09-15,15,9,2014,Monday,September,f
20150525,2015-05-25,25,5,2015,Monday,May,f
20180731,2018-07-31,31,7,2018,Tuesday,July,f
20240717,2024-07-17,17,7,2024,Wednesday,July,f
20180107,2018-01-07,7,1,2018,Sunday,January,t
20180209,2018-02-09,9,2,2018,Friday,February,f
20130301,2013-03-01,1,3,2013,Friday,March,f
20110305,2011-03-05,5,3,2011,Saturday,March,t
20130525,2013-05-25,25,5,2013,Saturday,May,t
20130807,2013-08-07,7,8,2013,Wednesday,August,f
20190228,2019-02-28,28,2,2019,Thursday,February,f
20100514,2010-05-14,14,5,2010,Friday,May,f
20221205,2022-12-05,5,12,2022,Monday,December,f
20100119,2010-01-19,19,1,2010,Tuesday,January,f
20110510,2011-05-10,10,5,2011,Tuesday,May,f
20190731,2019-07-31,31,7,2019,Wednesday,July,f
20220413,2022-04-13,13,4,2022,Wednesday,April,f
20211205,2021-12-05,5,12,2021,Sunday,December,t
20210929,2021-09-29,29,9,2021,Wednesday,September,f
20110513,2011-05-13,13,5,2011,Friday,May,f
20100219,2010-02-19,19,2,2010,Friday,February,f
20180226,2018-02-26,26,2,2018,Monday,February,f
20100317,2010-03-17,17,3,2010,Wednesday,March,f
20210121,2021-01-21,21,1,2021,Thursday,January,f
20220823,2022-08-23,23,8,2022,Tuesday,August,f
20121202,2012-12-02,2,12,2012,Sunday,December,t
20101205,2010-12-05,5,12,2010,Sunday,December,t
20211007,2021-10-07,7,10,2021,Thursday,October,f
20200716,2020-07-16,16,7,2020,Thursday,July,f
20101025,2010-10-25,25,10,2010,Monday,October,f
20181204,2018-12-04,4,12,2018,Tuesday,December,f
20161202,2016-12-02,2,12,2016,Friday,December,f
20140711,2014-07-11,11,7,2014,Friday,July,f
20220807,2022-08-07,7,8,2022,Sunday,August,t
20221128,2022-11-28,28,11,2022,Monday,November,f
20170502,2017-05-02,2,5,2017,Tuesday,May,f
20240707,2024-07-07,7,7,2024,Sunday,July,t
20111220,2011-12-20,20,12,2011,Tuesday,December,f
20230116,2023-01-16,16,1,2023,Monday,January,f
20120217,2012-02-17,17,2,2012,Friday,February,f
20130622,2013-06-22,22,6,2013,Saturday,June,t
20210818,2021-08-18,18,8,2021,Wednesday,August,f
20110111,2011-01-11,11,1,2011,Tuesday,January,f
20120216,2012-02-16,16,2,2012,Thursday,February,f
20180322,2018-03-22,22,3,2018,Thursday,March,f
20220820,2022-08-20,20,8,2022,Saturday,August,t
20191219,2019-12-19,19,12,2019,Thursday,December,f
20100818,2010-08-18,18,8,2010,Wednesday,August,f
20190902,2019-09-02,2,9,2019,Monday,September,f
20201206,2020-12-06,6,12,2020,Sunday,December,t
20120530,2012-05-30,30,5,2012,Wednesday,May,f
20171013,2017-10-13,13,10,2017,Friday,October,f
20200302,2020-03-02,2,3,2020,Monday,March,f
20160830,2016-08-30,30,8,2016,Tuesday,August,f
20181212,2018-12-12,12,12,2018,Wednesday,December,f
20160904,2016-09-04,4,9,2016,Sunday,September,t
20220324,2022-03-24,24,3,2022,Thursday,March,f
20190721,2019-07-21,21,7,2019,Sunday,July,t
20190711,2019-07-11,11,7,2019,Thursday,July,f
20221127,2022-11-27,27,11,2022,Sunday,November,t
20150530,2015-05-30,30,5,2015,Saturday,May,t
20160130,2016-01-30,30,1,2016,Saturday,January,t
20170921,2017-09-21,21,9,2017,Thursday,September,f
20210210,2021-02-10,10,2,2021,Wednesday,February,f
20230102,2023-01-02,2,1,2023,Monday,January,f
20170426,2017-04-26,26,4,2017,Wednesday,April,f
20200803,2020-08-03,3,8,2020,Monday,August,f
20151031,2015-10-31,31,10,2015,Saturday,October,t
20170216,2017-02-16,16,2,2017,Thursday,February,f
20100826,2010-08-26,26,8,2010,Thursday,August,f
20170430,2017-04-30,30,4,2017,Sunday,April,t
20240218,2024-02-18,18,2,2024,Sunday,February,t
20140402,2014-04-02,2,4,2014,Wednesday,April,f
20220303,2022-03-03,3,3,2022,Thursday,March,f
20121115,2012-11-15,15,11,2012,Thursday,November,f
20140827,2014-08-27,27,8,2014,Wednesday,August,f
20190910,2019-09-10,10,9,2019,Tuesday,September,f
20100130,2010-01-30,30,1,2010,Saturday,January,t
20240316,2024-03-16,16,3,2024,Saturday,March,t
20141125,2014-11-25,25,11,2014,Tuesday,November,f
20200824,2020-08-24,24,8,2020,Monday,August,f
20111122,2011-11-22,22,11,2011,Tuesday,November,f
20211111,2021-11-11,11,11,2021,Thursday,November,f
20160108,2016-01-08,8,1,2016,Friday,January,f
20231108,2023-11-08,8,11,2023,Wednesday,November,f
20101101,2010-11-01,1,11,2010,Monday,November,f
20110310,2011-03-10,10,3,2011,Thursday,March,f
20120811,2012-08-11,11,8,2012,Saturday,August,t
20140108,2014-01-08,8,1,2014,Wednesday,January,f
20120109,2012-01-09,9,1,2012,Monday,January,f
20130719,2013-07-19,19,7,2013,Friday,July,f
20110520,2011-05-20,20,5,2011,Friday,May,f
20230214,2023-02-14,14,2,2023,Tuesday,February,f
20230812,2023-08-12,12,8,2023,Saturday,August,t
20110320,2011-03-20,20,3,2011,Sunday,March,t
20210715,2021-07-15,15,7,2021,Thursday,July,f
20120825,2012-08-25,25,8,2012,Saturday,August,t
20200308,2020-03-08,8,3,2020,Sunday,March,t
20150417,2015-04-17,17,4,2015,Friday,April,f
20100606,2010-06-06,6,6,2010,Sunday,June,t
20130730,2013-07-30,30,7,2013,Tuesday,July,f
20150202,2015-02-02,2,2,2015,Monday,February,f
20240909,2024-09-09,9,9,2024,Monday,September,f
20221123,2022-11-23,23,11,2022,Wednesday,November,f
20240128,2024-01-28,28,1,2024,Sunday,January,t
20200918,2020-09-18,18,9,2020,Friday,September,f
20180529,2018-05-29,29,5,2018,Tuesday,May,f
20100206,2010-02-06,6,2,2010,Saturday,February,t
20120723,2012-07-23,23,7,2012,Monday,July,f
20221120,2022-11-20,20,11,2022,Sunday,November,t
20170910,2017-09-10,10,9,2017,Sunday,September,t
20170101,2017-01-01,1,1,2017,Sunday,January,t
20180901,2018-09-01,1,9,2018,Saturday,September,t
20120614,2012-06-14,14,6,2012,Thursday,June,f
20140219,2014-02-19,19,2,2014,Wednesday,February,f
20121118,2012-11-18,18,11,2012,Sunday,November,t
20231114,2023-11-14,14,11,2023,Tuesday,November,f
20200324,2020-03-24,24,3,2020,Tuesday,March,f
20131104,2013-11-04,4,11,2013,Monday,November,f
20131117,2013-11-17,17,11,2013,Sunday,November,t
20200630,2020-06-30,30,6,2020,Tuesday,June,f
20230107,2023-01-07,7,1,2023,Saturday,January,t
20100205,2010-02-05,5,2,2010,Friday,February,f
20110626,2011-06-26,26,6,2011,Sunday,June,t
20110727,2011-07-27,27,7,2011,Wednesday,July,f
20240201,2024-02-01,1,2,2024,Thursday,February,f
20151227,2015-12-27,27,12,2015,Sunday,December,t
20180805,2018-08-05,5,8,2018,Sunday,August,t
20131028,2013-10-28,28,10,2013,Monday,October,f
20190615,2019-06-15,15,6,2019,Saturday,June,t
20240101,2024-01-01,1,1,2024,Monday,January,f
20101104,2010-11-04,4,11,2010,Thursday,November,f
20130612,2013-06-12,12,6,2013,Wednesday,June,f
20230502,2023-05-02,2,5,2023,Tuesday,May,f
20160321,2016-03-21,21,3,2016,Monday,March,f
20240504,2024-05-04,4,5,2024,Saturday,May,t
20230222,2023-02-22,22,2,2023,Wednesday,February,f
20160629,2016-06-29,29,6,2016,Wednesday,June,f
20190618,2019-06-18,18,6,2019,Tuesday,June,f
20210531,2021-05-31,31,5,2021,Monday,May,f
20110306,2011-03-06,6,3,2011,Sunday,March,t
20211028,2021-10-28,28,10,2021,Thursday,October,f
20180701,2018-07-01,1,7,2018,Sunday,July,t
20240626,2024-06-26,26,6,2024,Wednesday,June,f
20221231,2022-12-31,31,12,2022,Saturday,December,t
20120928,2012-09-28,28,9,2012,Friday,September,f
20240329,2024-03-29,29,3,2024,Friday,March,f
20231217,2023-12-17,17,12,2023,Sunday,December,t
20150208,2015-02-08,8,2,2015,Sunday,February,t
20120317,2012-03-17,17,3,2012,Saturday,March,t
20110605,2011-06-05,5,6,2011,Sunday,June,t
20141030,2014-10-30,30,10,2014,Thursday,October,f
20160427,2016-04-27,27,4,2016,Wednesday,April,f
20230630,2023-06-30,30,6,2023,Friday,June,f
20231125,2023-11-25,25,11,2023,Saturday,November,t
20110514,2011-05-14,14,5,2011,Saturday,May,t
20150915,2015-09-15,15,9,2015,Tuesday,September,f
20220331,2022-03-31,31,3,2022,Thursday,March,f
20120220,2012-02-20,20,2,2012,Monday,February,f
20140126,2014-01-26,26,1,2014,Sunday,January,t
20120414,2012-04-14,14,4,2012,Saturday,April,t
20131218,2013-12-18,18,12,2013,Wednesday,December,f
20200109,2020-01-09,9,1,2020,Thursday,January,f
20200528,2020-05-28,28,5,2020,Thursday,May,f
20240619,2024-06-19,19,6,2024,Wednesday,June,f
20100326,2010-03-26,26,3,2010,Friday,March,f
20110518,2011-05-18,18,5,2011,Wednesday,May,f
20120603,2012-06-03,3,6,2012,Sunday,June,t
20170317,2017-03-17,17,3,2017,Friday,March,f
20210116,2021-01-16,16,1,2021,Saturday,January,t
20100107,2010-01-07,7,1,2010,Thursday,January,f
20140529,2014-05-29,29,5,2014,Thursday,May,f
20121012,2012-10-12,12,10,2012,Friday,October,f
20140627,2014-06-27,27,6,2014,Friday,June,f
20100123,2010-01-23,23,1,2010,Saturday,January,t
20230127,2023-01-27,27,1,2023,Friday,January,f
20190818,2019-08-18,18,8,2019,Sunday,August,t
20210212,2021-02-12,12,2,2021,Friday,February,f
20211108,2021-11-08,8,11,2021,Monday,November,f
20200623,2020-06-23,23,6,2020,Tuesday,June,f
20150507,2015-05-07,7,5,2015,Thursday,May,f
20130529,2013-05-29,29,5,2013,Wednesday,May,f
20200226,2020-02-26,26,2,2020,Wednesday,February,f
20110407,2011-04-07,7,4,2011,Thursday,April,f
20190103,2019-01-03,3,1,2019,Thursday,January,f
20120710,2012-07-10,10,7,2012,Tuesday,July,f
20120717,2012-07-17,17,7,2012,Tuesday,July,f
20130904,2013-09-04,4,9,2013,Wednesday,September,f
20221006,2022-10-06,6,10,2022,Thursday,October,f
20140728,2014-07-28,28,7,2014,Monday,July,f
20190205,2019-02-05,5,2,2019,Tuesday,February,f
20220517,2022-05-17,17,5,2022,Tuesday,May,f
20121208,2012-12-08,8,12,2012,Saturday,December,t
20150818,2015-08-18,18,8,2015,Tuesday,August,f
20100508,2010-05-08,8,5,2010,Saturday,May,t
20111001,2011-10-01,1,10,2011,Saturday,October,t
20180208,2018-02-08,8,2,2018,Thursday,February,f
20170119,2017-01-19,19,1,2017,Thursday,January,f
20181213,2018-12-13,13,12,2018,Thursday,December,f
20110115,2011-01-15,15,1,2011,Saturday,January,t
20101201,2010-12-01,1,12,2010,Wednesday,December,f
20200401,2020-04-01,1,4,2020,Wednesday,April,f
20200426,2020-04-26,26,4,2020,Sunday,April,t
20100910,2010-09-10,10,9,2010,Friday,September,f
20180101,2018-01-01,1,1,2018,Monday,January,f
20210115,2021-01-15,15,1,2021,Friday,January,f
20241002,2024-10-02,2,10,2024,Wednesday,October,f
20220627,2022-06-27,27,6,2022,Monday,June,f
20191121,2019-11-21,21,11,2019,Thursday,November,f
20220518,2022-05-18,18,5,2022,Wednesday,May,f
20200917,2020-09-17,17,9,2020,Thursday,September,f
20140910,2014-09-10,10,9,2014,Wednesday,September,f
20100203,2010-02-03,3,2,2010,Wednesday,February,f
20161210,2016-12-10,10,12,2016,Saturday,December,t
20111005,2011-10-05,5,10,2011,Wednesday,October,f
20151108,2015-11-08,8,11,2015,Sunday,November,t
20150617,2015-06-17,17,6,2015,Wednesday,June,f
20231124,2023-11-24,24,11,2023,Friday,November,f
20100101,2010-01-01,1,1,2010,Friday,January,f
20191102,2019-11-02,2,11,2019,Saturday,November,t
20100807,2010-08-07,7,8,2010,Saturday,August,t
20150726,2015-07-26,26,7,2015,Sunday,July,t
20110803,2011-08-03,3,8,2011,Wednesday,August,f
20121206,2012-12-06,6,12,2012,Thursday,December,f
20210919,2021-09-19,19,9,2021,Sunday,September,t
20230315,2023-03-15,15,3,2023,Wednesday,March,f
20180207,2018-02-07,7,2,2018,Wednesday,February,f
20150806,2015-08-06,6,8,2015,Thursday,August,f
20100913,2010-09-13,13,9,2010,Monday,September,f
20140707,2014-07-07,7,7,2014,Monday,July,f
20191227,2019-12-27,27,12,2019,Friday,December,f
20200416,2020-04-16,16,4,2020,Thursday,April,f
20241216,2024-12-16,16,12,2024,Monday,December,f
20240127,2024-01-27,27,1,2024,Saturday,January,t
20210122,2021-01-22,22,1,2021,Friday,January,f
20160530,2016-05-30,30,5,2016,Monday,May,f
20190324,2019-03-24,24,3,2019,Sunday,March,t
20230916,2023-09-16,16,9,2023,Saturday,September,t
20160305,2016-03-05,5,3,2016,Saturday,March,t
20200828,2020-08-28,28,8,2020,Friday,August,f
20170826,2017-08-26,26,8,2017,Saturday,August,t
20240426,2024-04-26,26,4,2024,Friday,April,f
20210816,2021-08-16,16,8,2021,Monday,August,f
20110104,2011-01-04,4,1,2011,Tuesday,January,f
20230513,2023-05-13,13,5,2023,Saturday,May,t
20120114,2012-01-14,14,1,2012,Saturday,January,t
20170510,2017-05-10,10,5,2017,Wednesday,May,f
20150126,2015-01-26,26,1,2015,Monday,January,f
20180517,2018-05-17,17,5,2018,Thursday,May,f
20211201,2021-12-01,1,12,2021,Wednesday,December,f
20100411,2010-04-11,11,4,2010,Sunday,April,t
20130603,2013-06-03,3,6,2013,Monday,June,f
20240213,2024-02-13,13,2,2024,Tuesday,February,f
20211109,2021-11-09,9,11,2021,Tuesday,November,f
20160814,2016-08-14,14,8,2016,Sunday,August,t
20231116,2023-11-16,16,11,2023,Thursday,November,f
20131116,2013-11-16,16,11,2013,Saturday,November,t
20161230,2016-12-30,30,12,2016,Friday,December,f
20180211,2018-02-11,11,2,2018,Sunday,February,t
20200503,2020-05-03,3,5,2020,Sunday,May,t
20240902,2024-09-02,2,9,2024,Monday,September,f
20110825,2011-08-25,25,8,2011,Thursday,August,f
20160527,2016-05-27,27,5,2016,Friday,May,f
20210422,2021-04-22,22,4,2021,Thursday,April,f
20140920,2014-09-20,20,9,2014,Saturday,September,t
20220109,2022-01-09,9,1,2022,Sunday,January,t
20191201,2019-12-01,1,12,2019,Sunday,December,t
20120812,2012-08-12,12,8,2012,Sunday,August,t
20240530,2024-05-30,30,5,2024,Thursday,May,f
20221111,2022-11-11,11,11,2022,Friday,November,f
20240415,2024-04-15,15,4,2024,Monday,April,f
20160703,2016-07-03,3,7,2016,Sunday,July,t
20211228,2021-12-28,28,12,2021,Tuesday,December,f
20110330,2011-03-30,30,3,2011,Wednesday,March,f
20231222,2023-12-22,22,12,2023,Friday,December,f
20170124,2017-01-24,24,1,2017,Tuesday,January,f
20200731,2020-07-31,31,7,2020,Friday,July,f
20210508,2021-05-08,8,5,2021,Saturday,May,t
20121113,2012-11-13,13,11,2012,Tuesday,November,f
20131207,2013-12-07,7,12,2013,Saturday,December,t
20120513,2012-05-13,13,5,2012,Sunday,May,t
20100816,2010-08-16,16,8,2010,Monday,August,f
20100812,2010-08-12,12,8,2010,Thursday,August,f
20110816,2011-08-16,16,8,2011,Tuesday,August,f
20180601,2018-06-01,1,6,2018,Friday,June,f
20180315,2018-03-15,15,3,2018,Thursday,March,f
20160224,2016-02-24,24,2,2016,Wednesday,February,f
20210313,2021-03-13,13,3,2021,Saturday,March,t
20241210,2024-12-10,10,12,2024,Tuesday,December,f
20230323,2023-03-23,23,3,2023,Thursday,March,f
20100728,2010-07-28,28,7,2010,Wednesday,July,f
20230327,2023-03-27,27,3,2023,Monday,March,f
20180527,2018-05-27,27,5,2018,Sunday,May,t
20170209,2017-02-09,9,2,2017,Thursday,February,f
20130906,2013-09-06,6,9,2013,Friday,September,f
20120404,2012-04-04,4,4,2012,Wednesday,April,f
