vehicle_key,vehicle_type
-1,UNKNOWN
1,truck with semi-trailer
2,other non-motor vehicle
3,passenger car without trailer
4,bus
5,moped
6,truck with semi-trailer
7,"motorcycle (including sidecars, scooters, etc.)"
8,not determined / driver fled
9,tram
10,"motorcycle (including sidecars, scooters, etc.)"
11,trolleybus
12,trolleybus
13,"truck (including multi-car, crane, tanker, etc.)"
14,tractor (with trailer)
15,"other motor vehicle (agricultural, forestry, construction, etc.)"
16,not determined / driver fled
17,bicycle
18,"other motor vehicle (agricultural, forestry, construction, etc.)"
19,tram
20,"other motor vehicle (agricultural, forestry, construction, etc.)"
21,truck with semi-trailer
22,passenger car without trailer
23,other non-motor vehicle
24,passenger car without trailer
25,trolleybus
26,tram
27,scooter
28,bus
29,moped
30,truck with trailer
31,tractor (with trailer)
32,other type of vehicle
33,"truck (including multi-car, crane, tanker, etc.)"
34,truck with trailer
35,"motorcycle (including sidecars, scooters, etc.)"
36,train
37,passenger car without trailer
38,passenger car with trailer
39,truck with trailer
40,"motorcycle (including sidecars, scooters, etc.)"
41,"truck (including multi-car, crane, tanker, etc.)"
42,"truck (including multi-car, crane, tanker, etc.)"
43,scooter
44,passenger car with trailer
45,small motorcycle (up to 50 ccm)
46,small motorcycle (up to 50 ccm)
47,cart / horseback
48,truck with trailer
49,passenger car without trailer
50,passenger car without trailer
51,bus
52,other non-motor vehicle
53,passenger car with trailer
54,other non-motor vehicle
55,not determined / driver fled
56,"truck (including multi-car, crane, tanker, etc.)"
57,bus
58,passenger car without trailer
59,"motorcycle (including sidecars, scooters, etc.)"
60,passenger car without trailer
61,moped
62,passenger car without trailer
63,"truck (including multi-car, crane, tanker, etc.)"
64,"truck (including multi-car, crane, tanker, etc.)"
65,passenger car without trailer
66,bicycle
67,train
68,truck with trailer
69,small motorcycle (up to 50 ccm)
70,truck with semi-trailer
71,passenger car without trailer
72,bicycle
73,truck with semi-trailer
74,tractor (with trailer)
75,other type of vehicle
76,bicycle
