weather_key,weathercode,cloudcover,pressure_msl
-1,,,
1,1,46,999.5
2,3,91,1012.3
3,3,93,1001.1
4,3,99,1031.4
5,1,40,1019.4
6,1,45,1039.3
7,2,77,1030.6
8,2,50,1010.2
9,51,51,1021.3
10,1,32,1015
11,51,39,1013.1
12,53,99,1011.3
13,2,56,1004.6
14,3,86,1017.3
15,0,13,1021.4
16,3,92,1003.6
17,0,14,998.9
18,3,89,1010.6
19,1,28,1011.2
20,2,67,1016.3
21,1,46,1017.4
22,0,16,1012.7
23,1,39,1025
24,1,22,1000.2
25,51,99,1018.1
26,51,60,1010.1
27,51,50,1009.9
28,1,25,1009.2
29,0,17,1018
30,1,22,1030.6
31,3,83,1007.2
32,3,84,1011.8
33,1,38,1013.9
34,3,99,1008.6
35,3,95,1022.7
36,1,27,1019.3
37,0,16,1011.9
38,3,84,1026.4
39,2,71,1018.3
40,0,4,1036.5
41,63,100,1010.7
42,2,54,1019.7
43,2,61,1021.8
44,0,18,1012.2
45,3,95,1039.8
46,2,78,1024.5
47,3,91,1013.8
48,1,21,1020.9
49,2,52,1022.8
50,2,79,1013.8
51,0,2,1022.2
52,2,53,1038.2
53,3,98,1029.1
54,2,70,1019
55,53,75,1018.6
56,2,69,1005.6
57,63,100,1012.7
58,0,6,1018
59,51,47,1018.3
60,0,8,1033.7
61,0,7,1014.8
62,51,87,1012.2
63,1,49,1021.7
64,2,77,1017.3
65,0,10,1008.8
66,3,92,1026.3
67,3,90,1007.8
68,3,87,1011.4
69,1,27,1040
70,2,73,1013.4
71,51,80,1008.5
72,2,75,1027.9
73,1,32,1012.8
74,1,41,1010.5
75,3,85,1017.1
76,0,7,1024.8
77,1,47,1038.6
78,3,100,1002.1
79,51,86,1009.5
80,1,27,1026.8
81,1,40,1013.2
82,3,98,995.9
83,1,37,1007.9
84,3,83,1016.1
85,71,47,1036.2
86,0,8,1031.3
87,3,85,1027.9
88,51,70,1010.1
89,3,93,992.7
90,0,9,1035.1
91,3,100,1017.2
92,0,1,1006.2
93,2,56,1020.8
94,2,71,1010
95,51,15,1018.1
96,1,38,1016.2
97,2,53,1010.6
98,51,49,1008.4
99,3,90,1020.5
100,51,99,1012.7
101,0,0,1006.3
102,2,66,1006.2
103,0,1,1029.3
104,51,56,1011.9
105,2,59,1006.6
106,1,41,1035
107,0,5,1032.1
108,0,18,1018.8
109,0,2,1010.6
110,2,54,1006
111,0,15,1036.3
112,1,46,1021.2
113,0,14,1011.8
114,51,54,1014
115,3,100,1005.1
116,51,98,1018.3
117,0,14,1023.5
118,3,94,1003.5
119,3,88,1029.6
