traffic_fact_key,location_key,year,car_count,truck_count,total_vehicles
1,1329,2010,2,13,15
2,1329,2011,2,13,15
3,1329,2012,2,13,15
4,1329,2013,2,13,15
5,1329,2014,2,13,15
6,1329,2015,2,13,15
7,1329,2016,2,13,15
8,1329,2017,2,12,14
9,1329,2018,2,12,14
10,1329,2019,2,12,14
11,1329,2020,2,12,14
12,1329,2021,2,12,14
13,1329,2022,2,12,14
14,1329,2023,2,12,14
15,17789,2010,6,8,14
16,17789,2011,5,8,13
17,17789,2012,5,8,13
18,17789,2013,4,9,13
19,17789,2014,4,9,13
20,17789,2015,4,10,14
21,17789,2016,4,10,14
22,17789,2017,5,7,12
23,17789,2018,5,7,12
24,17789,2019,6,9,15
25,17789,2020,5,9,14
26,17789,2021,5,7,12
27,17789,2022,5,7,12
28,17789,2023,5,10,15
29,1017,2010,6,7,13
30,1017,2011,6,7,13
31,1017,2012,7,7,14
32,1017,2013,7,7,14
33,1017,2014,7,7,14
34,1017,2015,7,7,14
35,1017,2016,8,7,15
36,1017,2017,9,8,17
37,1017,2018,9,8,17
38,1017,2019,9,8,17
39,1017,2020,9,8,17
40,1017,2021,9,8,17
41,1017,2022,9,8,17
42,1017,2023,9,8,17
43,37,2010,5,10,15
44,37,2011,5,10,15
45,37,2012,6,11,17
46,37,2013,6,11,17
47,37,2014,6,11,17
48,37,2015,6,11,17
49,37,2016,6,11,17
50,37,2017,6,11,17
51,37,2018,7,10,17
52,37,2019,7,10,17
53,37,2020,6,10,16
54,37,2021,6,10,16
55,37,2022,6,10,16
56,37,2023,6,10,16
57,5345,2010,3,12,15
58,5345,2011,3,12,15
59,5345,2012,4,12,16
60,5345,2013,4,12,16
61,5345,2014,4,12,16
62,5345,2015,4,12,16
63,5345,2016,4,12,16
64,5345,2017,5,11,16
65,5345,2018,5,11,16
66,5345,2019,5,11,16
67,5345,2020,4,11,15
68,5345,2021,4,10,14
69,5345,2022,4,10,14
70,5345,2023,4,10,14
71,16856,2010,8,10,18
72,16856,2011,8,10,18
73,16856,2012,10,11,21
74,16856,2013,10,11,21
75,16856,2014,10,11,21
76,16856,2015,10,11,21
77,16856,2016,10,11,21
78,16856,2017,11,10,21
79,16856,2018,12,10,22
80,16856,2019,12,10,22
81,16856,2020,12,11,23
82,16856,2021,12,11,23
83,16856,2022,12,11,23
84,16856,2023,12,11,23
85,7335,2010,8,8,16
86,7335,2011,8,8,16
87,7335,2012,8,8,16
88,7335,2013,8,8,16
89,7335,2014,8,8,16
90,7335,2015,8,8,16
91,7335,2016,8,8,16
92,7335,2017,8,8,16
93,7335,2018,9,14,23
94,7335,2019,9,14,23
95,7335,2020,9,14,23
96,7335,2021,9,14,23
97,7335,2022,9,14,23
98,7335,2023,9,14,23
99,9735,2010,5,8,13
100,9735,2011,5,8,13
101,9735,2012,5,8,13
102,9735,2013,5,8,13
103,9735,2014,5,8,13
104,9735,2015,5,8,13
105,9735,2016,6,9,15
106,9735,2017,6,9,15
107,9735,2018,6,14,20
108,9735,2019,6,14,20
109,9735,2020,6,14,20
110,9735,2021,6,14,20
111,9735,2022,6,14,20
112,9735,2023,6,14,20
113,4525,2010,8,8,16
114,4525,2011,7,7,14
115,4525,2012,8,7,15
116,4525,2013,7,6,13
117,4525,2014,7,6,13
118,4525,2015,7,6,13
119,4525,2016,7,8,15
120,4525,2017,7,9,16
121,4525,2018,8,9,17
122,4525,2019,8,9,17
123,4525,2020,8,9,17
124,4525,2021,8,9,17
125,4525,2022,8,9,17
126,4525,2023,8,9,17
127,12708,2010,4,13,17
128,12708,2011,4,13,17
129,12708,2012,4,13,17
130,12708,2013,4,13,17
131,12708,2014,4,13,17
132,12708,2015,4,13,17
133,12708,2016,4,13,17
134,12708,2017,4,13,17
135,12708,2018,5,18,23
136,12708,2019,5,18,23
137,12708,2020,5,18,23
138,12708,2021,5,18,23
139,12708,2022,5,18,23
140,12708,2023,5,18,23
141,14047,2010,3,17,20
142,14047,2011,3,17,20
143,14047,2012,3,17,20
144,14047,2013,3,17,20
145,14047,2014,3,17,20
146,14047,2015,3,17,20
147,14047,2016,3,17,20
148,14047,2017,3,17,20
149,14047,2018,3,20,23
150,14047,2019,3,11,14
151,14047,2020,3,11,14
152,14047,2021,3,11,14
153,14047,2022,3,11,14
154,14047,2023,3,11,14
155,10163,2010,2,5,7
156,10163,2011,2,5,7
157,10163,2012,2,5,7
158,10163,2013,2,5,7
159,10163,2014,2,5,7
160,10163,2015,2,5,7
161,10163,2016,2,5,7
162,10163,2017,2,5,7
163,10163,2018,2,10,12
164,10163,2019,2,10,12
165,10163,2020,2,10,12
166,10163,2021,2,10,12
167,10163,2022,2,10,12
168,10163,2023,2,10,12
169,11583,2010,3,15,18
170,11583,2011,3,15,18
171,11583,2012,3,15,18
172,11583,2013,3,15,18
173,11583,2014,3,15,18
174,11583,2015,3,15,18
175,11583,2016,3,15,18
176,11583,2017,3,15,18
177,11583,2018,3,15,18
178,11583,2019,2,10,12
179,11583,2020,2,10,12
180,11583,2021,2,10,12
181,11583,2022,2,10,12
182,11583,2023,2,10,12
183,905,2010,4,10,14
184,905,2011,4,10,14
185,905,2012,4,10,14
186,905,2013,4,10,14
187,905,2014,4,10,14
188,905,2015,4,10,14
189,905,2016,4,10,14
190,905,2017,4,10,14
191,905,2018,4,12,16
192,905,2019,4,12,16
193,905,2020,4,12,16
194,905,2021,4,12,16
195,905,2022,4,12,16
196,905,2023,4,12,16
197,1587,2010,7,7,14
198,1587,2011,7,7,14
199,1587,2012,8,7,15
200,1587,2013,7,6,13
201,1587,2014,7,6,13
202,1587,2015,7,6,13
203,1587,2016,7,7,14
204,1587,2017,8,7,15
205,1587,2018,9,6,15
206,1587,2019,9,6,15
207,1587,2020,9,6,15
208,1587,2021,9,6,15
209,1587,2022,9,6,15
210,1587,2023,9,6,15
211,5181,2010,3,10,13
212,5181,2011,3,10,13
213,5181,2012,3,10,13
214,5181,2013,3,10,13
215,5181,2014,3,10,13
216,5181,2015,3,10,13
217,5181,2016,3,12,15
218,5181,2017,3,12,15
219,5181,2018,4,14,18
220,5181,2019,4,14,18
221,5181,2020,4,14,18
222,5181,2021,4,14,18
223,5181,2022,4,14,18
224,5181,2023,4,14,18
225,11262,2010,5,10,15
226,11262,2011,5,10,15
227,11262,2012,5,10,15
228,11262,2013,5,10,15
229,11262,2014,5,10,15
230,11262,2015,5,10,15
231,11262,2016,5,10,15
232,11262,2017,5,10,15
233,11262,2018,6,12,18
234,11262,2019,6,12,18
235,11262,2020,6,12,18
236,11262,2021,6,12,18
237,11262,2022,6,12,18
238,11262,2023,6,12,18
239,3179,2010,9,8,17
240,3179,2011,9,8,17
241,3179,2012,9,8,17
242,3179,2013,9,8,17
243,3179,2014,9,8,17
244,3179,2015,9,8,17
245,3179,2016,9,8,17
246,3179,2017,10,8,18
247,3179,2018,10,8,18
248,3179,2019,10,8,18
249,3179,2020,10,8,18
250,3179,2021,10,8,18
251,3179,2022,10,8,18
252,3179,2023,10,8,18
253,317,2010,13,6,19
254,317,2011,13,6,19
255,317,2012,14,6,20
256,317,2013,14,6,20
257,317,2014,15,6,21
258,317,2015,13,6,19
259,317,2016,12,6,18
260,317,2017,12,6,18
261,317,2018,13,6,19
262,317,2019,13,6,19
263,317,2020,13,6,19
264,317,2021,14,6,20
265,317,2022,14,6,20
266,317,2023,14,6,20
267,22840,2010,22,7,29
268,22840,2011,22,7,29
269,22840,2012,23,7,30
270,22840,2013,23,7,30
271,22840,2014,24,7,31
272,22840,2015,22,7,29
273,22840,2016,22,7,29
274,22840,2017,23,7,30
275,22840,2018,24,7,31
276,22840,2019,24,7,31
277,22840,2020,24,7,31
278,22840,2021,24,7,31
279,22840,2022,24,7,31
280,22840,2023,24,7,31
281,4654,2010,11,8,19
282,4654,2011,11,8,19
283,4654,2012,12,8,20
284,4654,2013,12,8,20
285,4654,2014,13,8,21
286,4654,2015,12,8,20
287,4654,2016,11,8,19
288,4654,2017,12,8,20
289,4654,2018,13,8,21
290,4654,2019,13,8,21
291,4654,2020,13,8,21
292,4654,2021,13,8,21
293,4654,2022,13,8,21
294,4654,2023,13,8,21
295,19419,2010,22,7,29
296,19419,2011,22,7,29
297,19419,2012,22,7,29
298,19419,2013,22,7,29
299,19419,2014,22,7,29
300,19419,2015,22,7,29
301,19419,2016,22,7,29
302,19419,2017,22,7,29
303,19419,2018,20,7,27
304,19419,2019,20,7,27
305,19419,2020,20,7,27
306,19419,2021,20,7,27
307,19419,2022,20,7,27
308,19419,2023,20,7,27
309,535,2010,18,13,31
310,535,2011,18,13,31
311,535,2012,19,13,32
312,535,2013,19,13,32
313,535,2014,20,9,29
314,535,2015,19,9,28
315,535,2016,21,9,30
316,535,2017,24,10,34
317,535,2018,24,10,34
318,535,2019,24,10,34
319,535,2020,24,10,34
320,535,2021,25,10,35
321,535,2022,25,10,35
322,535,2023,26,11,37
323,5820,2010,8,9,17
324,5820,2011,8,9,17
325,5820,2012,8,9,17
326,5820,2013,6,7,13
327,5820,2014,6,7,13
328,5820,2015,6,7,13
329,5820,2016,5,7,12
330,5820,2017,5,7,12
331,5820,2018,5,7,12
332,5820,2019,7,5,12
333,5820,2020,7,5,12
334,5820,2021,7,7,14
335,5820,2022,7,7,14
336,5820,2023,7,7,14
337,14346,2010,5,5,10
338,14346,2011,6,5,11
339,14346,2012,6,5,11
340,14346,2013,5,5,10
341,14346,2014,5,5,10
342,14346,2015,5,5,10
343,14346,2016,5,5,10
344,14346,2017,5,5,10
345,14346,2018,5,5,10
346,14346,2019,4,4,8
347,14346,2020,3,5,8
348,14346,2021,3,5,8
349,14346,2022,3,5,8
350,14346,2023,3,5,8
351,6754,2010,29,10,39
352,6754,2011,29,10,39
353,6754,2012,30,10,40
354,6754,2013,30,10,40
355,6754,2014,31,7,38
356,6754,2015,31,7,38
357,6754,2016,31,7,38
358,6754,2017,32,8,40
359,6754,2018,33,9,42
360,6754,2019,33,9,42
361,6754,2020,33,10,43
362,6754,2021,34,10,44
363,6754,2022,34,10,44
364,6754,2023,34,10,44
365,12804,2010,7,8,15
366,12804,2011,7,8,15
367,12804,2012,6,8,14
368,12804,2013,5,7,12
369,12804,2014,5,7,12
370,12804,2015,5,7,12
371,12804,2016,5,7,12
372,12804,2017,5,7,12
373,12804,2018,5,7,12
374,12804,2019,5,6,11
375,12804,2020,5,6,11
376,12804,2021,5,6,11
377,12804,2022,5,6,11
378,12804,2023,5,6,11
379,11174,2010,30,10,40
380,11174,2011,31,10,41
381,11174,2012,34,10,44
382,11174,2013,33,6,39
383,11174,2014,34,6,40
384,11174,2015,33,5,38
385,11174,2016,34,5,39
386,11174,2017,35,7,42
387,11174,2018,36,9,45
388,11174,2019,36,9,45
389,11174,2020,35,10,45
390,11174,2021,36,10,46
391,11174,2022,35,10,45
