weather_fact_key,date_key,time_key,weather_key,temperature_2m,dewpoint_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,windspeed_10m
1,20190325,-1,10365,5.7,5,3.7,0,0,0,0,5.6
2,20190325,0,10365,5.7,5,3.7,0,0,0,0,5.6
3,20180810,-1,13090,26.5,15.6,26.3,0,0,0,0,14.3
4,20180810,0,13090,26.5,15.6,26.3,0,0,0,0,14.3
5,20190912,-1,24380,12.7,10.4,11.8,0,0,0,0,7.2
6,20190912,0,24380,12.7,10.4,11.8,0,0,0,0,7.2
7,20180809,-1,9764,22.6,17.7,24.6,0,0,0,0,5
8,20180809,0,9764,22.6,17.7,24.6,0,0,0,0,5
9,20190324,-1,17050,6.5,5.5,4.4,0,0,0,0,7
10,20190324,0,17050,6.5,5.5,4.4,0,0,0,0,7
11,20180808,-1,18919,24.3,18.2,25.8,0,0,0,0,10.2
12,20180808,0,18919,24.3,18.2,25.8,0,0,0,0,10.2
13,20190716,-1,12785,14.3,11.9,13.6,0,0,0,0,8.8
14,20190716,0,12785,14.3,11.9,13.6,0,0,0,0,8.8
15,20180807,-1,20742,20.8,10.4,19.7,0,0,0,0,8.9
16,20180807,0,20742,20.8,10.4,19.7,0,0,0,0,8.9
17,20190323,-1,6419,6.2,5.1,3.9,0,0,0,0,7.1
18,20190323,0,6419,6.2,5.1,3.9,0,0,0,0,7.1
19,20180806,-1,18826,21.7,16.1,22.9,0,0,0,0,5.9
20,20180806,0,18826,21.7,16.1,22.9,0,0,0,0,5.9
21,20170413,-1,17009,10.1,4.9,7.2,0.2,0.2,0,0,11
22,20170413,0,17009,10.1,4.9,7.2,0.2,0.2,0,0,11
23,20180805,-1,17513,26.1,16.7,27.9,0,0,0,0,3.8
24,20180805,0,17513,26.1,16.7,27.9,0,0,0,0,3.8
25,20190322,-1,15243,1.3,-0.5,-2,0,0,0,0,7.5
26,20190322,0,15243,1.3,-0.5,-2,0,0,0,0,7.5
27,20180804,-1,19820,23.1,14.9,23.2,0,0,0,0,9.9
28,20180804,0,19820,23.1,14.9,23.2,0,0,0,0,9.9
29,20170123,-1,18392,-7.6,-8.9,-12,0,0,0,0.05,8.8
30,20170123,0,18392,-7.6,-8.9,-12,0,0,0,0.05,8.8
31,20170214,-1,6837,-5.4,-7,-9.1,0,0,0,0.06,5.1
32,20170214,0,6837,-5.4,-7,-9.1,0,0,0,0.06,5.1
33,20170112,-1,16309,-4.9,-7.5,-9.3,0.6,0,0.42,0.05,9.4
34,20170112,0,16309,-4.9,-7.5,-9.3,0.6,0,0.42,0.05,9.4
35,20191019,-1,22807,7.5,7.5,6.1,0,0,0,0,4.9
36,20191019,0,22807,7.5,7.5,6.1,0,0,0,0,4.9
37,20180803,-1,19448,24.5,17.5,25.8,0,0,0,0,9.2
38,20180803,0,19448,24.5,17.5,25.8,0,0,0,0,9.2
39,20190911,-1,18134,11.4,9.9,10.3,0,0,0,0,7
40,20190911,0,18134,11.4,9.9,10.3,0,0,0,0,7
41,20180802,-1,6249,23.8,18.8,25.8,0,0,0,0,9.2
42,20180802,0,6249,23.8,18.8,25.8,0,0,0,0,9.2
43,20191103,-1,10175,7.8,7.6,5.9,0,0,0,0,9.2
44,20191103,0,10175,7.8,7.6,5.9,0,0,0,0,9.2
45,20180801,-1,22808,22.8,16.5,23.9,0,0,0,0,7.8
46,20180801,0,22808,22.8,16.5,23.9,0,0,0,0,7.8
47,20190321,-1,17936,-0.7,-3.3,-4.5,0,0,0,0,8
48,20190321,0,17936,-0.7,-3.3,-4.5,0,0,0,0,8
49,20180731,-1,8841,21.3,17.3,22.9,0,0,0,0,6.5
50,20180731,0,8841,21.3,17.3,22.9,0,0,0,0,6.5
51,20190715,-1,2763,14.5,11.1,13.5,0,0,0,0,9.5
52,20190715,0,2763,14.5,11.1,13.5,0,0,0,0,9.5
53,20180730,-1,17125,21.8,18.4,24.2,0,0,0,0,5.1
54,20180730,0,17125,21.8,18.4,24.2,0,0,0,0,5.1
55,20190320,-1,20399,-0.4,-2.9,-4.3,0,0,0,0,9.7
56,20190320,0,20399,-0.4,-2.9,-4.3,0,0,0,0,9.7
57,20180729,-1,23943,21.5,17.9,23.3,0,0,0,0,7.3
58,20180729,0,23943,21.5,17.9,23.3,0,0,0,0,7.3
59,20170509,-1,7213,8.9,5.2,5.9,0.2,0.2,0,0,12.8
60,20170509,0,7213,8.9,5.2,5.9,0.2,0.2,0,0,12.8
61,20180728,-1,18697,20.9,18.2,22.8,0,0,0,0,7.6
62,20180728,0,18697,20.9,18.2,22.8,0,0,0,0,7.6
63,20190319,-1,13237,0.2,-3,-3.5,0,0,0,0,8
64,20190319,0,13237,0.2,-3,-3.5,0,0,0,0,8
65,20180727,-1,10774,20,16.7,21.1,0,0,0,0,9
66,20180727,0,10774,20,16.7,21.1,0,0,0,0,9
67,20190714,-1,22515,15.4,13.1,14.1,0,0,0,0,15.4
68,20190714,0,22515,15.4,13.1,14.1,0,0,0,0,15.4
69,20180726,-1,22351,19,14.4,19.1,0,0,0,0,9.2
70,20180726,0,22351,19,14.4,19.1,0,0,0,0,9.2
71,20190318,-1,10953,8.6,2.2,3.7,0,0,0,0,22
72,20190318,0,10953,8.6,2.2,3.7,0,0,0,0,22
73,20180725,-1,16963,18.7,13.2,18.5,0,0,0,0,7.9
74,20180725,0,16963,18.7,13.2,18.5,0,0,0,0,7.9
75,20190910,-1,5047,11,7.6,8.9,0,0,0,0,9.6
76,20190910,0,5047,11,7.6,8.9,0,0,0,0,9.6
77,20180724,-1,21724,19.4,14.1,18.9,0,0,0,0,13
78,20180724,0,21724,19.4,14.1,18.9,0,0,0,0,13
79,20170215,-1,19577,-3.2,-5.1,-7.1,0,0,0,0.04,7.6
80,20170215,0,19577,-3.2,-5.1,-7.1,0,0,0,0.04,7.6
81,20190317,-1,10501,2.6,2.6,-0.1,0,0,0,0,7.4
82,20190317,0,10501,2.6,2.6,-0.1,0,0,0,0,7.4
83,20190713,-1,22759,14.9,14,15.5,0,0,0,0,4.8
84,20190713,0,22759,14.9,14,15.5,0,0,0,0,4.8
85,20190316,-1,14103,10.1,6.4,5.4,0,0,0,0,25.6
86,20190316,0,14103,10.1,6.4,5.4,0,0,0,0,25.6
87,20180723,-1,1618,18.6,16.3,19.2,0.3,0.3,0,0,11.2
88,20180723,0,1618,18.6,16.3,19.2,0.3,0.3,0,0,11.2
89,20170412,-1,3483,3.8,-0.7,0.6,0,0,0,0,6.6
90,20170412,0,3483,3.8,-0.7,0.6,0,0,0,0,6.6
91,20180722,-1,14946,19.4,16.5,20.3,0,0,0,0,9.7
92,20180722,0,14946,19.4,16.5,20.3,0,0,0,0,9.7
93,20190315,-1,9262,4,2.4,-0.3,0.3,0.3,0,0,17.6
94,20190315,0,9262,4,2.4,-0.3,0.3,0.3,0,0,17.6
95,20180721,-1,7916,19.5,13.2,19.2,0,0,0,0,9.2
96,20180721,0,7916,19.5,13.2,19.2,0,0,0,0,9.2
97,20190712,-1,14903,16.5,8.1,15.2,0,0,0,0,5.4
98,20190712,0,14903,16.5,8.1,15.2,0,0,0,0,5.4
99,20180720,-1,14715,18,14.7,18,0,0,0,0,10.3
100,20180720,0,14715,18,14.7,18,0,0,0,0,10.3
101,20190314,-1,5804,0.9,-1.8,-2.7,0,0,0,0,8.4
102,20190314,0,5804,0.9,-1.8,-2.7,0,0,0,0,8.4
103,20180719,-1,14903,19.5,13.7,17.9,0,0,0,0,19
104,20180719,0,14903,19.5,13.7,17.9,0,0,0,0,19
105,20190909,-1,8097,14.7,13.6,14.1,2.5,2.5,0,0,12
106,20190909,0,8097,14.7,13.6,14.1,2.5,2.5,0,0,12
107,20180718,-1,20515,19.8,13.4,18.2,0.1,0.1,0,0,18.8
108,20180718,0,20515,19.8,13.4,18.2,0.1,0.1,0,0,18.8
109,20190313,-1,6023,-0.4,-2.7,-4.2,0,0,0,0,9
110,20190313,0,6023,-0.4,-2.7,-4.2,0,0,0,0,9
111,20180717,-1,10998,18.4,13.3,18,0,0,0,0,9.8
112,20180717,0,10998,18.4,13.3,18,0,0,0,0,9.8
113,20190711,-1,4086,12.8,7.2,10.9,0,0,0,0,8.1
114,20190711,0,4086,12.8,7.2,10.9,0,0,0,0,8.1
115,20180716,-1,23022,17.7,11.2,17,0,0,0,0,7.1
116,20180716,0,23022,17.7,11.2,17,0,0,0,0,7.1
117,20190312,-1,5471,2.2,-3.3,-2,0,0,0,0,10.8
118,20190312,0,5471,2.2,-3.3,-2,0,0,0,0,10.8
